analyte_code,analyte_translation,analyte_desc,atomic_num,weight,preferred_unit,api_code,category,in_phase1_website,in_phase2_website,oxide_conv,website_analyte,category_two,website_order,website_order_pos2
192Os,192Os,NULL,NULL,NULL,ppt,os_192,metal_isotope,FALSE,TRUE,NULL,192Os (ppt),NULL,141,NULL
1:1 clays,1:1 clays,"1:1 clays e.g .Kaolinite, Berthierine",NULL,NULL,wtpct,one_to_one_clays,mineralogy_composition,FALSE,TRUE,NULL,1:1 clays (wt%),NULL,230,NULL
2:1 clays,2:1 clays,"2:1 clays e.g. Montmorillonite, Illite, Muscovite, Biotite",NULL,NULL,wtpct,two_to_one_clays,mineralogy_composition,FALSE,TRUE,NULL,2:1 clays (wt%),NULL,231,NULL
AVS,Acid-volatile sulfides,Acid-volatile sulfides,NULL,NULL,wtpct,avs,iron_sulfur,FALSE,TRUE,NULL,AVS (wt%),NULL,18,NULL
Ac,Actinium,Actinium,89,227.028,N/A,ac,element,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
Actinolite,Actinolite,Actinolite,NULL,NULL,wtpct,actinolite,mineralogy_composition,FALSE,FALSE,NULL,Actinolite (wt%),NULL,NULL,NULL
Ag,Silver,Silver,47,107.868,ppm,ag,element,TRUE,TRUE,NULL,Ag (ppm),NULL,152,NULL
Al,Aluminium,Aluminium,13,26.982,wtpct,alu,element,TRUE,TRUE,NULL,Al (wt%),NULL,153,NULL
Al-SeqA,Aluminum from SeqA,"Aluminum extracted using the SeqA method, first step in sequential iron extraction method of Poulton and Canfield, 2005",NULL,NULL,wtpct,al_seqa,NULL,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
Al-SeqC,Aluminum from SeqC,"Aluminum extracted using the SeqC method, third step in sequential iron extraction method of Poulton and Canfield, 2005",NULL,NULL,wtpct,al_seqc,NULL,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
Al-auth,Al from authigenic fraction,Authigenic aluminium after light leach on shale,NULL,NULL,wtpct,al _auth,authigenic_proxy,FALSE,FALSE,NULL,Al-auth (wt%),NULL,NULL,NULL
Al-carb,Al from the carbonate fraction,"Aluminum extracted from the carbonate fraction, after acidification in a weak acid",NULL,NULL,wtpct,al_carb,carbonate_proxy,FALSE,TRUE,NULL,Al-carb (wt%),NULL,46,NULL
Al2O3,Aluminum oxide,Aluminum oxide,NULL,101.96,wtpct,alu,element,TRUE,TRUE,0.529251,Al (wt%),NULL,153,NULL
Albite,Albite,Albite,NULL,NULL,wtpct,albite,mineralogy_composition,FALSE,TRUE,NULL,Albite (wt%),NULL,232,NULL
